lat,long
48.689377 , 2.116137
48.689350 , 2.116144
48.689350 , 2.116148
48.689350 , 2.116141
48.689362 , 2.116126
48.689362 , 2.116111
48.689362 , 2.116066
48.689350 , 2.116043
48.689350 , 2.116043
48.689350 , 2.116043
48.689320 , 2.116091
48.689304 , 2.116097
48.689297 , 2.116079
48.689297 , 2.116075
48.689289 , 2.116076
48.689285 , 2.116065
48.689266 , 2.116066
48.689247 , 2.116072
48.689217 , 2.116095
48.689178 , 2.116124
48.689152 , 2.116138
48.689121 , 2.116156
48.689087 , 2.116188
48.689049 , 2.116211
48.689014 , 2.116224
48.688992 , 2.116226
48.688969 , 2.116243
48.688965 , 2.116245
48.688961 , 2.116250
48.688946 , 2.116282
48.688923 , 2.116321
48.688896 , 2.116358
48.688881 , 2.116389
48.688889 , 2.116413
48.688881 , 2.116432
48.688873 , 2.116458
48.688854 , 2.116484
48.688847 , 2.116508
48.688831 , 2.116518
48.688805 , 2.116540
48.688805 , 2.116540
48.688644 , 2.116708
48.688602 , 2.116720
48.688591 , 2.116730
48.688557 , 2.116711
48.688534 , 2.116706
48.688534 , 2.116696
48.688450 , 2.116397
48.688450 , 2.116365
48.688450 , 2.116331
48.688454 , 2.116300
48.688450 , 2.116281
48.688450 , 2.116239
48.688461 , 2.116198
48.688469 , 2.116157
48.688488 , 2.116138
48.688492 , 2.116105
48.688488 , 2.116069
48.688477 , 2.116046
48.688473 , 2.116034
48.688465 , 2.116022
48.688450 , 2.115966
48.688431 , 2.115933
48.688427 , 2.115908
48.688427 , 2.115855
48.688416 , 2.115813
48.688404 , 2.115806
48.688389 , 2.115813
48.688354 , 2.115821
48.688328 , 2.115790
48.688313 , 2.115787
48.688301 , 2.115783
48.688293 , 2.115716
48.688293 , 2.115668
48.688301 , 2.115621
48.688286 , 2.115628
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688271 , 2.115609
48.688484 , 2.115361
48.688416 , 2.115193
48.688396 , 2.115126
48.688400 , 2.115078
48.688416 , 2.115052
48.688454 , 2.115045
48.688461 , 2.115048
48.688480 , 2.115049
48.688499 , 2.115060
48.688538 , 2.115080
48.688545 , 2.115084
48.688553 , 2.115095
48.688580 , 2.115102
48.688595 , 2.115138
48.688618 , 2.115172
48.688641 , 2.115198
48.688663 , 2.115220
48.688683 , 2.115208
48.688698 , 2.115198
48.688713 , 2.115193
48.688744 , 2.115177
48.688774 , 2.115197
48.688801 , 2.115205
48.688828 , 2.115215
48.688847 , 2.115294
48.688866 , 2.115329
48.688881 , 2.115353
48.688885 , 2.115353
48.688915 , 2.115362
48.688950 , 2.115435
48.688950 , 2.115471
48.688992 , 2.115518
48.689003 , 2.115558
48.689018 , 2.115537
48.689034 , 2.115598
48.689056 , 2.115545
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689075 , 2.115595
48.689457 , 2.116321
48.689484 , 2.116322
48.689472 , 2.116353
48.689491 , 2.116390
48.689495 , 2.116432
48.689507 , 2.116497
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689526 , 2.116513
48.689583 , 2.116641
48.689587 , 2.116655
48.689548 , 2.116587
48.689552 , 2.116604
48.689552 , 2.116604
48.689552 , 2.116604
48.689552 , 2.116604
